province,type,scenario,year,value,unit
all,Total,high,2005,482.1959717855,Million cubic metres Per Day
AB,Total,high,2005,374.6352794538,Million cubic metres Per Day
BC,Total,high,2005,74.3321718931,Million cubic metres Per Day
MB,Total,high,2005,0,Million cubic metres Per Day
NB,Total,high,2005,0.0566556188,Million cubic metres Per Day
NL,Total,high,2005,0,Million cubic metres Per Day
NS,Total,high,2005,10.9628622419,Million cubic metres Per Day
NT,Total,high,2005,1.1614401858,Million cubic metres Per Day
NU,Total,high,2005,0,Million cubic metres Per Day
ON,Total,high,2005,0.7081952353,Million cubic metres Per Day
PE,Total,high,2005,0,Million cubic metres Per Day
QC,Total,high,2005,0,Million cubic metres Per Day
SK,Total,high,2005,19.9144500156,Million cubic metres Per Day
YT,Total,high,2005,0.4249171412,Million cubic metres Per Day
all,Total,high,2006,484.575507776,Million cubic metres Per Day
AB,Total,high,2006,379.0260899125,Million cubic metres Per Day
BC,Total,high,2006,73.7656157049,Million cubic metres Per Day
MB,Total,high,2006,0,Million cubic metres Per Day
NB,Total,high,2006,0.0566556188,Million cubic metres Per Day
NL,Total,high,2006,0,Million cubic metres Per Day
NS,Total,high,2006,9.8864054843,Million cubic metres Per Day
NT,Total,high,2006,0.7081952353,Million cubic metres Per Day
NU,Total,high,2006,0,Million cubic metres Per Day
ON,Total,high,2006,0.7081952353,Million cubic metres Per Day
PE,Total,high,2006,0,Million cubic metres Per Day
QC,Total,high,2006,0,Million cubic metres Per Day
SK,Total,high,2006,20.1127446815,Million cubic metres Per Day
YT,Total,high,2006,0.3116059035,Million cubic metres Per Day
all,Total,high,2007,476.7570323787,Million cubic metres Per Day
AB,Total,high,2007,370.8960086117,Million cubic metres Per Day
BC,Total,high,2007,74.048893799,Million cubic metres Per Day
MB,Total,high,2007,0,Million cubic metres Per Day
NB,Total,high,2007,0.4249171412,Million cubic metres Per Day
NL,Total,high,2007,0,Million cubic metres Per Day
NS,Total,high,2007,11.246140336,Million cubic metres Per Day
NT,Total,high,2007,0.7081952353,Million cubic metres Per Day
NU,Total,high,2007,0,Million cubic metres Per Day
ON,Total,high,2007,0.5948839976,Million cubic metres Per Day
PE,Total,high,2007,0,Million cubic metres Per Day
QC,Total,high,2007,0,Million cubic metres Per Day
SK,Total,high,2007,18.6396985921,Million cubic metres Per Day
YT,Total,high,2007,0.1982946659,Million cubic metres Per Day
all,Total,high,2008,457.0125492196,Million cubic metres Per Day
AB,Total,high,2008,350.1600521232,Million cubic metres Per Day
BC,Total,high,2008,75.7485623637,Million cubic metres Per Day
MB,Total,high,2008,0,Million cubic metres Per Day
NB,Total,high,2008,0.7648508541,Million cubic metres Per Day
NL,Total,high,2008,0,Million cubic metres Per Day
NS,Total,high,2008,11.7277130959,Million cubic metres Per Day
NT,Total,high,2008,0.5099005694,Million cubic metres Per Day
NU,Total,high,2008,0,Million cubic metres Per Day
ON,Total,high,2008,0.5382283788,Million cubic metres Per Day
PE,Total,high,2008,0,Million cubic metres Per Day
QC,Total,high,2008,0,Million cubic metres Per Day
SK,Total,high,2008,17.4216027875,Million cubic metres Per Day
YT,Total,high,2008,0.1416390471,Million cubic metres Per Day
all,Total,high,2009,427.9482167644,Million cubic metres Per Day
AB,Total,high,2009,325.2032520325,Million cubic metres Per Day
BC,Total,high,2009,75.7202345543,Million cubic metres Per Day
MB,Total,high,2009,0,Million cubic metres Per Day
NB,Total,high,2009,0.6515396164,Million cubic metres Per Day
NL,Total,high,2009,0,Million cubic metres Per Day
NS,Total,high,2009,9.2065380584,Million cubic metres Per Day
NT,Total,high,2009,0.48157276,Million cubic metres Per Day
NU,Total,high,2009,0,Million cubic metres Per Day
ON,Total,high,2009,0.48157276,Million cubic metres Per Day
PE,Total,high,2009,0,Million cubic metres Per Day
QC,Total,high,2009,0,Million cubic metres Per Day
SK,Total,high,2009,16.0901957452,Million cubic metres Per Day
YT,Total,high,2009,0.1133112376,Million cubic metres Per Day
all,Total,high,2010,412.9628055862,Million cubic metres Per Day
AB,Total,high,2010,307.2717486757,Million cubic metres Per Day
BC,Total,high,2010,81.5557632928,Million cubic metres Per Day
MB,Total,high,2010,0,Million cubic metres Per Day
NB,Total,high,2010,0.5099005694,Million cubic metres Per Day
NL,Total,high,2010,0,Million cubic metres Per Day
NS,Total,high,2010,8.3567037761,Million cubic metres Per Day
NT,Total,high,2010,0.5287857757,Million cubic metres Per Day
NU,Total,high,2010,0,Million cubic metres Per Day
ON,Total,high,2010,0.4532449506,Million cubic metres Per Day
PE,Total,high,2010,0,Million cubic metres Per Day
QC,Total,high,2010,0,Million cubic metres Per Day
SK,Total,high,2010,14.2488881335,Million cubic metres Per Day
YT,Total,high,2010,0.0377704125,Million cubic metres Per Day
all,Total,high,2011,412.7645109204,Million cubic metres Per Day
AB,Total,high,2011,294.042661681,Million cubic metres Per Day
BC,Total,high,2011,97.1360584686,Million cubic metres Per Day
MB,Total,high,2011,0,Million cubic metres Per Day
NB,Total,high,2011,0.4532449506,Million cubic metres Per Day
NL,Total,high,2011,0,Million cubic metres Per Day
NS,Total,high,2011,7.1669357809,Million cubic metres Per Day
NT,Total,high,2011,0.48157276,Million cubic metres Per Day
NU,Total,high,2011,0,Million cubic metres Per Day
ON,Total,high,2011,0.4249171412,Million cubic metres Per Day
PE,Total,high,2011,0,Million cubic metres Per Day
QC,Total,high,2011,0,Million cubic metres Per Day
SK,Total,high,2011,13.0307923288,Million cubic metres Per Day
YT,Total,high,2011,0.0283278094,Million cubic metres Per Day
all,Total,high,2012,393.898189853,Million cubic metres Per Day
AB,Total,high,2012,277.7258434605,Million cubic metres Per Day
BC,Total,high,2012,97.4193365627,Million cubic metres Per Day
MB,Total,high,2012,0,Million cubic metres Per Day
NB,Total,high,2012,0.3399337129,Million cubic metres Per Day
NL,Total,high,2012,0,Million cubic metres Per Day
NS,Total,high,2012,5.4106115974,Million cubic metres Per Day
NT,Total,high,2012,0.4626875537,Million cubic metres Per Day
NU,Total,high,2012,0,Million cubic metres Per Day
ON,Total,high,2012,0.3965893317,Million cubic metres Per Day
PE,Total,high,2012,0,Million cubic metres Per Day
QC,Total,high,2012,0,Million cubic metres Per Day
SK,Total,high,2012,12.1243024277,Million cubic metres Per Day
YT,Total,high,2012,0.0188852063,Million cubic metres Per Day
all,Total,high,2013,397.7224441234,Million cubic metres Per Day
AB,Total,high,2013,274.4114897595,Million cubic metres Per Day
BC,Total,high,2013,105.7477125294,Million cubic metres Per Day
MB,Total,high,2013,0,Million cubic metres Per Day
NB,Total,high,2013,0.3116059035,Million cubic metres Per Day
NL,Total,high,2013,0,Million cubic metres Per Day
NS,Total,high,2013,4.8440554092,Million cubic metres Per Day
NT,Total,high,2013,0.3399337129,Million cubic metres Per Day
NU,Total,high,2013,0,Million cubic metres Per Day
ON,Total,high,2013,0.3399337129,Million cubic metres Per Day
PE,Total,high,2013,0,Million cubic metres Per Day
QC,Total,high,2013,0,Million cubic metres Per Day
SK,Total,high,2013,11.7277130959,Million cubic metres Per Day
YT,Total,high,2013,0,Million cubic metres Per Day
all,Total,high,2014,415.4556528144,Million cubic metres Per Day
AB,Total,high,2014,280.4169853545,Million cubic metres Per Day
BC,Total,high,2014,112.7730092632,Million cubic metres Per Day
MB,Total,high,2014,0,Million cubic metres Per Day
NB,Total,high,2014,0.2549502847,Million cubic metres Per Day
NL,Total,high,2014,0,Million cubic metres Per Day
NS,Total,high,2014,9.1215546302,Million cubic metres Per Day
NT,Total,high,2014,0.3116059035,Million cubic metres Per Day
NU,Total,high,2014,0,Million cubic metres Per Day
ON,Total,high,2014,0.2832780941,Million cubic metres Per Day
PE,Total,high,2014,0,Million cubic metres Per Day
QC,Total,high,2014,0,Million cubic metres Per Day
SK,Total,high,2014,12.2942692842,Million cubic metres Per Day
YT,Total,high,2014,0,Million cubic metres Per Day
all,Total,high,2015,424.1522903034,Million cubic metres Per Day
AB,Total,high,2015,279.1705617405,Million cubic metres Per Day
BC,Total,high,2015,126.5403246367,Million cubic metres Per Day
MB,Total,high,2015,0,Million cubic metres Per Day
NB,Total,high,2015,0.1699668565,Million cubic metres Per Day
NL,Total,high,2015,0,Million cubic metres Per Day
NS,Total,high,2015,5.4672672162,Million cubic metres Per Day
NT,Total,high,2015,0.2266224753,Million cubic metres Per Day
NU,Total,high,2015,0,Million cubic metres Per Day
ON,Total,high,2015,0.3116059035,Million cubic metres Per Day
PE,Total,high,2015,0,Million cubic metres Per Day
QC,Total,high,2015,0,Million cubic metres Per Day
SK,Total,high,2015,12.2659414747,Million cubic metres Per Day
YT,Total,high,2015,0,Million cubic metres Per Day
all,Total,high,2016,439.307668338,Million cubic metres Per Day
